English,French,eng_len,fr_len
"We therefore demand that once the Treaty expires, steel aid must be regulated by a Council regulation according to Article 94, for that is the only way to create the necessary legal validity and clarity.","C'est pourquoi nous demandons qu'après l'expiration du Traité, les aides à la sidérurgie soient réglementées par un règlement du Conseil conformément à l'article 94 car c' est le seul moyen de garantir le caractère obligatoire et la clarté qui s' imposent.",34,40
"Mr President, esteemed gentlemen from Portugal, especially the Council representatives, you face great expectations on our part.","Monsieur le Président, chers amis portugais et, en particulier, chers représentants du Conseil, vous êtes confrontés à de grandes attentes de notre part.",16,22
"This is why I should like to see the next report on state aid include some assessment of the effect of such aid on employment, industry and craft businesses in the beneficiary countries.","C'est pourquoi je souhaite que le prochain rapport sur les aides d'État comprenne une évaluation de l'effet de ces aides sur l'emploi, ainsi que sur les secteurs de l'industrie et de l'artisanat dans les pays bénéficiaires.",32,35
Some of the measures we have put in place in the past have not been honoured by some of the Member States - and let us not forget that the Member States are responsible for implementing about 80% of the EU budget.,Quelques-unes des mesures que nous avons mises en place par le passé n'ont pas été respectées par certains États membres - n'oublions pas que les États membres sont responsables de l'exécution de quelque 80 % du budget de l'UE.,41,38
Only the people cut off from the harsh reality of the grass roots could have any doubt about that.,Seuls ceux qui sont coupés des dures réalités du terrain ont pu en douter.,18,13
I have great expectations for the Portuguese Presidency.,Je place de grandes espérances en la présidence portugaise.,7,8
They may not be transferred in their present form or structure - this is an issue on which we will elicit views before making our definitive proposals on the authority's establishment.,Ceux-ci ne seront peut-être pas transférés sous leur forme ou structure actuelle - nous attendrons que nous parviennent des opinions avant d'élaborer nos propositions définitives sur l'établissement de l'autorité européenne alimentaire.,30,30
"While I recognise that some progress has been made in areas like port state control and minimal crewing standards, we are still faced with what our late colleague Ken Stewart used to call 'ships of shame sailing in and out of our European Union waters: rust buckets badly crewed'.","Tout en reconnaissant les progrès réalisés dans des domaines tels que le contrôle effectué par l'État du port et les normes minimales en matière d'équipage, je pense que nous avons encore à faire avec ce que feu notre collègue Ken Stewart appelait les navires de la honte navigant dans et en dehors des eaux territoriales de l'Union européenne :des rafiots rouillés et de piètres équipages.",48,64
"At the moment, there are no concrete proposals which would allow us to make adjustments under this Article, and unless there is such a proposal, we cannot move forward on this matter.","Pour l'heure, aucune proposition concrète ne nous permet de travailler à la réglementation de cet article. Sans cette proposition, il n'est pas possible d'avancer en la matière.",31,26
"When, in 1994, over five years ago that is, I joined the Legal Affairs Committee in this Parliament, I became rapporteur for the environmental liability dossier.","En 1994, lorsque j'entrai au sein de la commission juridique de ce Parlement, je suis devenue rapporteur pour les questions de responsabilité environnementale.",25,22
Numerous questions are still outstanding.,De nombreuses questions demeurent pendantes.,4,4
"I am, up to a point, concerned about how the Council will fight for the principles contained in the Treaty of Amsterdam and whose purpose is to ensure that citizens have a better opportunity to participate in the decision-making process.","Je suis, d'une certaine manière, préoccupée par la question de savoir comment le Conseil défendra les principes contenus dans le traité d'Amsterdam et qui visent à garantir aux citoyens une meilleure participation au processus décisionnel.",39,34
"In assessing the question of whether or not to grant the Commission discharge, the decision must be based upon what actually occurred during the financial year concerned, in this case in the course of 1997.","Au moment de juger s' il convient ou non d' accorder la décharge à la Commission, notre décision doit se fonder sur ce qui s' est effectivement passé au cours de l' exercice concerné, en l'occurrence en 1997.",34,37
The document has been drawn up taking full account of the provisions contained in the draft prepared by the European Ombudsman's office.,Le document a été rédigé en tenant pleinement compte des dispositions contenues dans le projet préparé par le bureau du médiateur européen.,21,21
"First of all, Mr Andrews, you must understand that I do not agree with your interpretation of my colleague' s speech during the meeting of the Committee on Development. There is no contradiction between our two positions, quite the opposite.","Monsieur le Député, vous comprendrez que je ne suis pas d'accord avec la lecture que vous faites de l'intervention de mon collègue lors de la réunion de la commission du développement ; il n'y a aucune contradiction entre ces positions, au contraire.",39,41
"In addition to that, the food safety authority will have a board.","En outre, cette autorité chargée de la sécurité alimentaire disposera d'un conseil.",11,11
"Your approach, which I am very much in favour of, since it is a coherent one, takes its inspiration from the issue of human rights; I wholeheartedly agree that we must embrace the cause of human rights.","Votre approche, que je préconise volontiers pour sa cohérence, est inspirée par le thème des droits de l'homme. Je suis tout à fait d'accord : nous devons nous occuper du thème des droits de l'homme.",36,34
The competent services have not included them in the agenda on the grounds that they had been answered in a previous part-session.,"Les services compétents ne les ont pas inclues à l'ordre du jour, avançant que des réponses avaient déjà été apportées lors d'une précédente session.",21,23
"These are the reasons why the guidelines are presented according to thematic priorities, since they must be taken into consideration, under each of the objectives, to different extents in accordance with the specific situations of each of the Member States and regions.","Voilà les raisons pour lesquelles les orientations sont présentées selon des priorités thématiques, car elles doivent être prises en considération, au titre de chacun des objectifs, à des degrés divers selon les situations spécifiques de chacun des États membres et des régions.",41,41
"That is one of the issues that we address in the annex to the legislation, and the intention is to establish a positive list for feed material.",C'est une des questions que nous abordons dans l'annexe à la législation et nous avons l'intention d'établir une liste positive pour les substances destinées aux aliments pour animaux.,26,27
Political leaders must show real courage to put in place a framework which can lead to an overall peace settlement within the Middle East.,Les dirigeants politiques doivent faire preuve d'un réel courage pour mettre en place un cadre susceptible d'aboutir à un règlement pacifique global au Moyen-Orient.,23,23
"The new service will report to me and it will be accompanied by an Audit Progress Board chaired by my colleague, Mrs Schreyer, who I am delighted to see in the Chamber this evening.","Le nouveau service sera responsable devant moi et sera accompagné par un groupe de suivi de l'audit présidé par ma collègue, Mme Schreyer, que j'ai le plaisir de voir dans cette enceinte ce soir.",33,33
"What point is there in issuing restrictive directives if, once they are at sea, most vessels do just what they wish?","À quoi cela sert-il en effet de mettre en place des directives contraignantes si, ensuite, la plupart des bateaux font ce qu'ils veulent une fois sur les océans ?",20,28
New rules have been drawn up and implemented governing the appointment of senior officials.,De nouveaux principes ont été établis et appliqués régissant la nomination des hauts fonctionnaires.,13,13
This debate and the amendment of the directive currently in force allow us to incorporate differentiating elements which demonstrate the diversity of this Europe of ours.,Ce débat et la modification de la directive actuellement en vigueur nous permettent d'introduire des faits différentiels qui témoignent de la diversité de notre Europe.,25,24
"That is precisely the time when you may, if you wish, raise this question, i.e. on Thursday prior to the start of the presentation of the report.","C'est exactement à ce moment-là que vous pourrez, en effet, si vous le souhaitez, soulever cette question, c'est-à-dire jeudi avant le début de la présentation du rapport.",26,26
